Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Philippe Juvin;EPP;FR;writing supported recommendation colleague struan stevenson imposes labelling labelling fishery aquaculture product including information material used fishing fishing area welcome adoption recommendation;10/12/2013;;;
Giovanni La Via;EPP;IT;writing voted favour colleague report stevenson position council reading view adoption regulation common organisation market fishery aquaculture product like stress important topic report take account need regulate provision information type equipment;10/12/2013;;;
David Martin;PES;UK;voted favour report negotiation council parliament finally voting strong report disappointingly amendment transparency labelling pas committee report strong ending practice discarding edible fish improving sustainable fish labelling;10/12/2013;;;
Veronique Mathieu Houillon;EPP;FR;writing voted favour report common organisation market fishery aquaculture product sector intended provide consumer accurate information fish buy;10/12/2013;;;
Nuno Melo;EPP;PT;writing purpose proposal ensure sustainable fishing deepsea specie reduce unwanted accessible catch reduce impact fragile habitat increase number biodiversity data landbased specie text provides gradual removal deepfrequency landing net net landing deep fishing deep specie fisherman sufficient time adapt new requirement order minimise negative effect fleet involved fishing activity ship wishing change fishing gear benefit financial support european fishery fund provided new art reduces impact fishing noncommercial specie national operational programme allow contribute measure give favorable opinion;10/12/2013;;;
Willy Meyer;GUE/NGL;ES;writing voted report ocm fishery sector instrument allow fishing generate employment destruction marine resource proposal intended intervene market causing disaster deregulate parliamentary group trying defend natural social environment fishing community including fisherman key proposal allows large company destroy local artisanal textile moved contrary market regulation ocm large company continue benefit voted report;10/12/2013;;;
Alexander Mirsky;PES;LV;legislative report cornerstone cfp reform designed help sector implement common fishery policy boost competitiveness particular producer voted favour;10/12/2013;;;
Catherine Stihler;PES;UK;voted favour proposal support implementation common fishery policy;10/12/2013;;;
Kay Swinburne;ECR;UK;report form essential component pleasing overall reform common fishery policy hope measure outlined report area producer organisation labelling marketing production strategy enable delivery fairer simpler cfp industry consumer;10/12/2013;;;
Marc Tarabella;PES;BE;writing voted favour text extending reform common organisation market fishery aquaculture product european parliament council invite submit proposal amend regulation control regulation ec 12242009 amendment account need regulate provision information type equipment fishery product wild fish;10/12/2013;;;
Nuno Teixeira;EPP;PT;writing long period negotiation agreement reached text common organisation market fishery aquaculture product commitment reached include clarification mandatory information consumer reform role producer organisation administrative mechanism market intervention approach placed marketing strategy expressed production plan reason set voted favour document;10/12/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted legislative resolution position reading council adopt regulation common organisation market fishery aquaculture product amending regulation ec 11842006 ec council regulation ec 12242009 council regulation ec 1042000 regulation adopted establishes common organisation market fishery aquaculture product common organization market containing following element professional organisation marketing standard consumer information competition rule market knowledge fish stock represent common resource sustainable efficient exploitation better achieved case organisation composed member state region necessary encourage establishment producer organisation association producer national transnational level based appropriate biogeographical region organisation form partnership follow development common mandatory rule ensure fair condition competition party involved fishing organisation established necessary ensure subject competition rule laid regulation adopted;10/12/2013;;;
Patrice Tirolien;PES;FR;writing various food scandal challenged chronics recent year strongly challenged citizen demand transparency information product consume product fishery aquaculture exception year long discussion importance sensitivity issue able vote common market regulation ocm article pillar hand strengthen competitiveness producer face global competition hand affect transparency european environment created labelling standard provide additional information finally imposes additional requirement product import europe necessary know 65 marine product consume imported welcome vote colleague stevenson report;10/12/2013;;;
Ruza Tomasic;ECR;HR;pressed resident croatian territory voted important proposal main step eu common fishery policy rule relating producer organisation fishery sector proposal number positive aspect importantly referring directly lead reduction oppressive rule difficult construction fair confusing fishery consumer industry burden general simplification rule set report allow consumer access clearer easier understand information fishery aquaculture product consider extremely positive croatia eu member state concerned;10/12/2013;;;
Ines Cristina Zuber;GUE/NGL;PT;writing current common organisation fishery ocm pillar common fishery policy existed 1970 far ensuring stability market fishery product fair income producer need comprehensive ambitious reform cmo strengthen public instrument market intervention regulation view ensuring sector performance market stability improvement marketing fishery product increase added value increase price sale fish nt way worse current ocm failed disengageting existing regulatory instrument objective increase liberalisation market orientation current context sector path appear disastrous countless segment fleet especially smallscale fishing segment let maintain position reform;10/12/2013;;;
Guido Milana;PES;IT;mr president lady gentleman missed opportunity vote today way able approve report way longer talk lobbyist tried build absence debate parliament lack discussion council report council table month president happened irish cypriot lithuanian opened report parliament sought mediation positive mediation final vote fact intended leave procedure open definitely closed door report effectiveness legislation test parliament weakness absolute proof force courage tell council deal matter bring aula quickly impossible;10/12/2013;;;
Diane Dodds;NI;UK;mr president contrary view previous speaker particular report believe report heavily influenced scientific advice proven relatively new sparse voted amendment 62 position committee taken considered debate committee support position parliament particular issue;10/12/2013;;;
Luis Paulo Alves;PES;PT;writing vote favour report promotes type fishing fully operated sinner decisionmakers equipped data ecosystem especially vulnerable marine environment azores academic human capacity important support body help task defended debate future european fishery fund work involving fishing professional line rest data collection taxation control work defined new common fishery policy;10/12/2013;;;
Sophie Auconie;EPP;FR;writing short time european parliament rejected total prohibition deep water pollution 600 metre depth personally supported worked end vain ban voted finally supported report disastrous practice incorporating fouryear review clause eventually prohibit;10/12/2013;;;
Zigmantas Balcytis;PES;LT;write voted favour proposal condition fishing special deepsea fish stock northeast atlantic provision international water northeast atlantic view strengthening fishery deep seawater protecting marine fuel ecosystem fish bluefin tuna fished 4000 metre atlantic water habitat contain 8500yearold coral reef live smallscale fish ancient specie currently investigation messy environment damaged agree licensing improved gradually rejected fishing tool deepsea fishing sustainable doubledistance circuit doublestairsstate circuit network agree proposal review rule carried year ass impact need prohibition fishing important fishing vessel capacity used make possible obtain support european maritime fishery fund order able change fishing gear carry related improvement vessel develop necessary training;10/12/2013;;;
Elena Basescu;EPP;RO;writing voted favour report european union play leading role managing resource kind report step forward sustainable rational exploitation fishing resource talking alignment objective common fishery policy careful approach vulnerability deepsea stock prohibition certain fishing method destroy ecosystem operates measure significantly reduce impact fishing activity environment addition measure reduce longdistance catch consolidated finally believe fishing authorisation holder motivated cooperate actively assessment stock specie ocean;10/12/2013;;;
Fabrizio Bertot;EPP;IT;writing approved proposal regulation support commission proposal define rule specificity deep water fishing dual objective identifying protecting vulnerable ecosystem preventing use harmful fishing system include high rate accidental catch regulation necessary block decoupling deepwater fish stock;10/12/2013;;;
Mara Bizzotto;EFD;IT;writing sync corrected elderman elder_man believe regulation deepsea fishery northeast atlantic fundamental importance legislative vacuum achieved far led dangerous deterioration fish stock supported text vote;10/12/2013;;;
Franco Bonanini;NI;IT;writing adverse effect strascic fishing vulnerable ecosystem deep water incalculable irreparably destroyed ecosystem reproductive source specie irradiation habitat representing strategic point balance marine ecosystem marine resource increasingly declining require careful management continue benefit food economic social contribution provide task stop destructive fishing practice remembering marine ecosystem interconnected negative effect ecosystem inevitable near strascic fishing strong impact community local fisherman protecting biodiversity marine ecosystem promoting sustainable fishing activity fighting destructive fishing practice mean promoting social economic anthropological process combining economic development need environmental protection vote promoter new policy sustainable fishery contribute social economic cultural fabric coastal community jeopardising invaluable heritage biodiversity;10/12/2013;;;
Philippe Boulland;EPP;FR;writing voted favour report compromise definition bring total satisfaction impose commission obligation carry impact study deep water specie vulnerable marine ecosystem number binding measure appropriate preserve ecosystem maintain economic activity consumer demand persists voted favour commitment ensures new fishing area allowed boat pas place passed allow preserve cold water body sponge revealers living ecosystem preserve addition obligation vessel fishing exclusively deepsea specie board european union observer ensure precise inconsisteable scientific followup observer able recover offence severely punished collect data allow year make point fishing decide stop hope year responsibility fisherman exemplary;10/12/2013;;;
Alain Cadec;EPP;FR;writing report supported result compromise adopted large majority committee fishery number binding measure commitment worth preserving ecosystem maintaining economic activity principle press ice pas heat place passed sanctify rest fishing area fundamental principle allow preserve cold water root sponge addition obligation vessel fishing exclusively deepsea specie board european union observer ensure precise inconsisteable scientific followup observer collect data allow 4 year make point fishing decide continued stopped fishing relates nearly 350 french littoral vessel including capture deep water specie 10 fish allows balance operating account irresponsible ban fishing altogether result destruction large number job;10/12/2013;;;
Minodora Cliveti;PES;RO;writing longterm fishing northeast atlantic characterised different practice hand traditional coastal fleet used portugal hand large nomad operating mainly french spanish flag total longrange specie represent 1 quantity landed northeast atlantic voted favour commission entire proposal potential ensure sustainability longterm commercially operated specie affected prevent significant adverse effect vulnerable marine ecosystem draft report proposes consolidation commission proposal following key area like recall identification deepsea specie vulnerable specie identification protection vulnerable marine ecosystem establishment annual assessment fleet capacity member state obligation carry impact assessment release renewal fishing authorisation deep fish specie financial assistance transition sustainable fishing unit;10/12/2013;;;
Lara Comi;EPP;IT;writing believe draft resolution regulation deepsea fishery northwest atlantic subject today parliament vote year negotiation various political group contains number important measure ensure stricter discipline type fishery union regulatory action aimed eliminating potential negative impact vulnerable ecosystem provides periodic assessment effectiveness provision reason voted favour motion resolution;10/12/2013;;;
Rachida Dati;EPP;FR;writing voted text regret ambitious policy deep water pollution adopted compromise committee fishery satisfactory given vulnerability ecosystem deep water fishing pose real danger certain marine specie disappointed necessary wait year commission undertakes assessment determine impact activity environment favour amendment proposing complete stop deepwater discharge depth 600 metre period year amendment intended replace compromise proposed fishery commission adopted able vote amendment reason voted report;10/12/2013;;;
Marielle de Sarnez;ALDE;FR;writing deep chatting fishing method destroys large fund 30 60 specie remounted industrial boiler rejected sea dead including specie path extinction particular harmful practice ecosystem taken thousand year build crucial balance sea fishery particular smallscale artificial coastal fishing enable renewal resource common good preserved;10/12/2013;;;
Christine De Veyrac;EPP;FR;writing voted favour text facilitates strict control conservation vulnerable marine ecosystem thorough study marine fund forgotten 2008 measure place european level preservation deep water specie allowed achievement maximum sustainable performance major deepwater trading specie finally compromise balanced allows deepwater fishing professional prepare possible stop year ago leaving possibility moving activity type fishing;10/12/2013;;;
Philippe de Villiers;EFD;FR;writing deep water fishing practice consequence unknown fragile ecosystem harmful vulnerable specie fishing providing substantial subsidy aid contrary eu policy protection environment addition practice generates relatively low employment compared vulnerable technique fisherman local fishing company die conventional respectful fishing french european effort;10/12/2013;;;
Jill Evans;Greens/EFA;UK;voted report request constituent wale contacted deep sea environment ecologically fragile vulnerable overfishing debate recent month need balance support fishing industry protecting unique marine environment believe report help achieve;10/12/2013;;;
Diogo Feio;EPP;PT;writing resolution presented plenary concludes possible commitment capture deepsea specie northeast atlantic commitment initial position party fact able reach agreement demonstrates ability dialogue seriousness problem believe maximumist position different simply prohibit capture deepsea specie contribute solution problem seek balance interest question;10/12/2013;;;
Joao Ferreira;GUE/NGL;PT;writing stock deepsea specie normally evolve continental platform normally associated continental subseamounts management fishery requires special attention large lack detailed information resource ecosystem vulnerable present inadequateness stop providing resource public research institution developing activity area proposal regulation intended deepsea fishery regard eu come adopt guideline set legislation international fishery management organisation case neafc northeast atlantic fishery commission aim promote conservation rational use north atlantic halihetic resource united nation agency proposal proposes relation certain art particular art imposing end art drawing support scientific opinion national expert support commitment reached commission fishery introduces important measure preserve resource highlight need strengthen science base support decisionmaking question continue follow carefully carefully;10/12/2013;;;
Monika Flasikova Benova;PES;SK;writing proposed proposal solves main problem specie fish high vulnerability fish population lack data population make impossible ass current situation term quality mortality population fish different biological property overfishing nonsustainable munition endangered group problem multiannual fishing increased food team observer suspended information status population level waste unwanted catch consequence marine ecosystem 2003 kind fishing framework european union unregulated hand longterm correct definition condition indispensable specific access area prevention major adverse effect marine ecosystem;10/12/2013;;;
Catherine Greze;Greens/EFA;FR;writing shadow day marine fund lost crucial vote fishing european parliament rejected historic measure prohibition deep water pollution despite considerable destruction marine environment fishing technique cause amendment tabled group introduce prohibition deep water pollution rejected 342 vote 326 concert socialist ump divergent position common european citizen 750 000 citizen claimed measure allowing victory destructive industrial fishing environment employment different world vision face growing decline sea resource productive logic borne european parliament chosen february common fishery policy based sustainability criterion citizen mobilization continues ecologist actively support;10/12/2013;;;
Sylvie Guillaume;PES;FR;writing voted favour commitment proposes balanced approach need protect specie large fund vulnerable marine fund necessary preserve thousand job concerned provides fishing ban area maintaining marine vulnerable fund partial geographical authorisation largescale fishing prohibited 90 international water northeast atlantic addition text allow catch large fund limit fixed fishing quota enable reestablish stress fact thousand job play deprived european fisherman possibility import respond food need seriously result food independence lead import product country environmental social standard relevant men ecosystem defined commitment finally measure year prove ass effectiveness revision;10/12/2013;;;
Jacky Henin;GUE/NGL;FR;writing month fisherman reduced possible prohibition fishing deep water threat lifted european parliament adopted brutal position asked member state rely better scientific technical information identify vulnerable marine ecosystem consider specific measure area vote parliament recognized need precise scientific information refurbishment analytical resource order guide fishery policy choice good thing arbitral decision certain coastal area taken european level lack information artisanal fishery respected environment risk industrial fishery european policy impregnable inadaptable legislative procedure completed council represented government member state speak year parliament regulation remain vigilant;10/12/2013;;;
Jim Higgins;EPP;IE;voted favour report eu place specific access regime fishing vessel engaged deepsea fishery northeast atlantic support restrictive measure deepsea fishing year commission conduct impact assessment effectiveness measure restore stock specie listed annex;10/12/2013;;;
Ian Hudghton;Greens/EFA;UK;house narrowly defeated amendment devastating effect coastal community atlantic coast rapporteur lastminute decision renege compromise colleague spent month working shameful brings credit parliament defeated amendment sought away evidencebased approach based specific need vulnerable ecosystem applying general ban trawling specified depth accordingly support;10/12/2013;;;
Juozas Imbrasas;EFD;LT;write agree new catch control measure deepsea fishing northeastern atlantic sought regulation aim ensure sustainable fishing deepsea fish reduce unwanted catch limit impact deep water habitat collect data biodiversity specie proposed improve licensing gradually refuse fishing gear deepsea fishing sustainable button trawl pushstate grid;10/12/2013;;;
Philippe Juvin;EPP;FR;writing voted favour colleague mr kriton arsenis report banning deepwater fishing like introduce concrete protection measure affected area ask commission impact study deep water fishing lead ban fishing boat way european fisherman use mainly boat including nondeep water fishing 4 year prepare prohibition welcome adoption report 567 vote 91 32 abstention;10/12/2013;;;
Agnes Le Brun;EPP;FR;writing voted favour report deepsea fishery adopted european parliament 10 december text enable implementation measure preserve deep water specie vulnerable marine ecosystem clearly delimiting fishing area fishing permitted limiting fishing current fishing zone order safeguard protected ecosystem ensuring scientific observer board deepwater fishing vessel measure allow collection precise data ass impact fishery environment determine future deepwater fishery year result irresponsible ban fishing deep water spoken immediate definitive arrest type fishing decision dramatic impact economy 350 ship 1600 job including 400 job lorient;10/12/2013;;;
Constance Le Grip;EPP;FR;writing voted favour report deepwater fishing ump colleague precisely approved compromise good balance preserving ecosystem maintaining economic activity prohibiting deep catacomb vulnerable area refused ban clean simple fishing deep water;10/12/2013;;;
Patrick Le Hyaric;GUE/NGL;FR;writing voted amendment 62 order open compromise deepsea fishing amend use large fund amendment supported designated group supported number environmental organization aimed prohibiting caults mite ground depth 600 metre year prohibit ship type equipment prevent use heavy equipment fragile area large fund little known arsenis report adopted prudent position practice list vulnerable area created commission fishing background equipment prohibited year entry force regulation commission ass impact decide extend fishing authorisation deep water precautionary approach largescale fishery adopted report cover issue practice supported adoption;10/12/2013;;;
Veronique Mathieu Houillon;EPP;FR;writing voted favour report deepwater fishery stock international water strictly covered deep water specie impact study conducted deep water specie vulnerable ecosystem principle press ice pas chalet place passed sanctify rest fishing area fundamental principle help preserve cold water sponge;10/12/2013;;;
Nuno Melo;EPP;PT;writing implementation new pcp necessary regulate provision information type fishery product derived wild fishery new rule marketing marketing aimed ensure consumer received better information quality sustainability product purchase example fishing art area caught give favorable opinion;10/12/2013;;;
Willy Meyer;GUE/NGL;ES;writing voted favour report provides imposition restriction highspeed fishing largescale fishing activity aggressive population marine environment largescale fisherman advantage great capacity make international water theoretically agency responsible ensuring implementation fishing standard deep water essential entire marine ecosystem migratory specie retention rate affected exploited maximum sustainable performance report change existing legislation area deepwater fishing fishing vessel exploit fishing resource sustainablely deep water voted favour report;10/12/2013;;;
Louis Michel;ALDE;BE;writing deep fishing important issue economic viability fishing community main objective sustainable exploitation deepsea fish stock reducing fishing incident ensuring exchange information scientific assessment important fishery sector work collaboration scientist order establish profitable sustainable fishery respect ship using molasses shellfish able benefit financial assistance european maritime fishery fund use new equipment limited impact environment ecosystem welcome report find fair balance profitability protection marine environment;10/12/2013;;;
Alexander Mirsky;PES;LV;commission proposed stricter rule deepsea fishing northeast atlantic july 2012 licence vessel use certain type deepsea fishing equipment trawl bottomset gillnets phased banned commission proposal year regulation come force voted favour;10/12/2013;;;
Andreas Molzer;NI;AT;writing discussed subject speech austrian protection world sea great asset deepsea fish basic net destroy sensitive marine habitat specie planted totally proportion result 075 european prisoner north atlantic included type true total ban job applied short term turning environmental fishing method job created according estimate time possible speak destruction job reduction increase subsidisation deep seafarer basic link justified economic social environmental ground voted favour amendment;10/12/2013;;;
Radvile MorkunaiteMikuleniene;EPP;LT;write agree document protection fishery resource bluefin tuna important element eu fishery policy committed strengthening protection resource detailed technical measure implement commitment far refer regulation duty responsibility fishing equipment fishing process vessel flying flag eu member state appreciate legislation major step forward preservation recovery deepsea fish stock;10/12/2013;;;
Kristiina Ojuland;ALDE;EE;environmental protection fundamental value stand integral fabric treaty functioning european union measure taking account environmental sensitivity brought implementation union policy activity deepsea fishing exception regard proven numerous study deepsea fishing trawl produce huge bycatch leaf permanent damage ecosystem considering especially deepsea fish stock coral reef decade century recover trawling make economic sense valuable specie lost practice amendment 7 8 resolution prohibit deepsea fishing trawl supported plenary session voted adoption entire resolution resolution address issue destruction deepsea ecosystem distract public attention matter urgent concern;10/12/2013;;;
Franck Proust;EPP;FR;writing maintain balance economic activity environmental resource conservation balance extremely fragile cursor difficult define debate need avoid excess think reasonable way happy pragmatism prevailed dogmatism;10/12/2013;;;
Robert Rochefort;ALDE;FR;writing regret lack ambition assembly sixteen vote chosen adopt amendment prohibiting deep water 600 metre supported catacombing use melancholy net destructive method fishing large fund continue vulnerable fund preserved recorded addition european funding allocated deepwater fisherman want sustainable fisherman positive dissuasive result protection marine fund area urgent prevent disappearance rich fragile ecosystem hardly known europe turn port demonstrates inability courageous measure prevent 11 european vessel vessel save atlantic ocean fund;10/12/2013;;;
Raul Romeva i Rueda;Greens/EFA;ES;writing voted destruction caused practice nondiscriminatory fishing sensitive environment marine fund arreciples threatened specie documented contrary false argument gradual elimination used strong representative lobby proposal affect number eu ship enormous environmental benefit unfortunately meps delivered lobbyist overfishing led fisherman deep water united nation underlined deep water environment ecologically fragile unique biodiversity slower life cycle new proposed rule aimed protecting deep water specie sustainable quota management plan massively halted lack support gradual disappearance destructive catch catch net;10/12/2013;;;
Catherine Stihler;PES;UK;voted favour report favour ban deepsea trawling believe sustainable fishing support precautionary approach deepsea stock vulnerable rapid depletion;10/12/2013;;;
Kay Swinburne;ECR;UK;protecting preserving marine environment rightly key focus reform common fishery policy state deep sea marine environment area requires attention personally feel strongly deep sea fishing carried sustainable manner whilst perfect feel report make important advance management deep sea fishery voted favour adoption today;10/12/2013;;;
Marc Tarabella;PES;BE;writing deepwater fishing 400 1500 metre sea level us boat truly bulldozer marine fund throwing huge net ton land collecting vote step like step right direction end work sea good remember fishing destroys 4 000year old coral reef 5 minute represents 17 european catch environmental disaster financial deficit fuel consumption go understanding halflitre gas kilogram fish fish stock time regenerate clear zone deep water fishing sustainable;10/12/2013;;;
Nuno Teixeira;EPP;PT;writing depth specie specie slowly multiplied particularly vulnerable overexploration 2002 european union taken measure access deepsea fishery sufficient address various problem vulnerability specie difficulty determining sustainable level fishery year negotiation commitment aimed limiting immediate measure year later impact assessment ass effectiveness measure recovery population unit specie taken account possible review regulation view reason voted favour document;10/12/2013;;;
SilviaAdriana Ticau;PES;RO;writing voted favour resolution proposal regulation laying specific condition fishing deepsea deep fish provision international fishery northeast atlantic repealing regulation ec 23472002 objective regulation adopted ensure sustainable management exploitation deepsea specie reducing impact longdistance fishing activity marine environment prevent significant adverse effect vulnerable marine ecosystem ensure long term conservation fish stock improve scientific knowledge deep fish specie habitat implement technical measure fishery management recommended commission northeast atlantic neafc reduce possible prevent accidental catch apply prudential ecosystemic approach fishery management ensure compliance union measure sustainable management deep fish stock resolution adopted united nation general assembly particular resolution 61105 6472;10/12/2013;;;
Patrice Tirolien;PES;FR;writing face challenge issue largescale fishery reconcile inconsistency environmental social economic requirement think particularly welcome agreement reached fishing issue sea authorised area 10 cent international water zone reduced vulnerable marine ecosystem protected compromise voted protects vulnerable marine fund preserve specie large fund imposing scientific monitoring quota specie maintains fishing activity atlantic bed recall relates 758 ship thousand job balanced agreement;10/12/2013;;;
Ruza Tomasic;ECR;HR;pressed report considers proposal european commission trend updating supplementing existing union regulation relating deepsea fishery northeast atlantic following longterm expeditious negotiation political group european parliament compromise reached consider healthy balance concern environment interest deepsea fishery industry particular welcome regulation vessel fishing small number deep sea specie currently need permit deepsea fishing denied possibility continuing traditional activity regulation binding entirety directly applicable member state report state fishing vessel used deepsea fishing shall right financial assistance european maritime fishery fund replacement fishing gear related change vessel necessary knowledge training hold report positive pragmatic balanced voted;10/12/2013;;;
Nils Torvalds;ALDE;FI;parliament decided today slim majority phase bottomsea trawling disappointed important step protecting deep seabottoms vulnerable ecosystem know little eu opinion apply ban strong reason regarding bottomtrawling reason scientific evidence recommendation clear matter bottomtrawling destructive seabottoms destroys coral thousand year old note seabottom underwater rainforest bottomtrawling deepsea fishing 600 metre benefit provide european job 11 european fishing vessel mainly conduct ultradeepsea fishing got support european maritime fishery fund change fishing gear accordance ban fishing 600 metre job lost sad disappointed important decision ecosystem marine environment impact employment economy;10/12/2013;;;
Derek Vaughan;PES;UK;aware current concern raised relation impact deepsea fishing deepsea stock highly vulnerable overfishing real potential stock depletion short period time concerned measure taken far effective solving fundamental problem deepsea trawling economically socially environmentally costly eu need phase destructive fishing method favour sustainable method voted favour amendment reintroduce ban deepsea trawling 600 meter disappointed learn trawling ban colleague supported narrowly rejected;10/12/2013;;;
MarieChristine Vergiat;GUE/NGL;FR;writing european parliament missed opportunity ban fishing member approved vote fishery commission provides partial prohibition background noise number sensitive area identified european commission regret adoption amendment 62 relates commission new fiveyear assessment possibility prohibiting deepwater fishing adoption prevented vote amendment cosigned colleague friend younous omarjee aimed immediately banning fishing catch using selective fishing gear fishing method concern industrial fishing extremely negative impact area marine flora regret european parliament given bad signal follow demand industry closing eye irreversibility destruction marine heritage despite rejection amendment 62 decided vote favour report absence ban important control deepwater fishing order protect ocean;10/12/2013;;;
Bernadette Vergnaud;PES;FR;writing european parliament adopted draft regulation largescale fishery compromise environmental social economic requirement order protect vulnerable marine fund text provides large fund used area represents 10 international water northeast atlantic area reduced mapping member state carry year reveals vulnerable marine ecosystem commitment strengthen extend requirement common fishery policy conservation largescale fund introducing scientific monitoring quota specie finally allows preserve fishing activity atlantic bed balance need protect specie large fund necessary preserve job concerned supported compromise text abstain key amendment allows deep water freeze believe preserving resource essential secure job future amendment revealed shortterm wrong vision;10/12/2013;;;
Angelika Werthmann;ALDE;AT;writing deepsea fishing mean large section vulnerable sensitive ecosystem substantially underestimated beginning prison term strong rule provide specie protection sensitive ecosystem time lose economic aspect sustainability urgently needed sector;10/12/2013;;;
Glenis Willmott;PES;UK;report aim establish stricter rule fishing deepsea water north atlantic area susceptible overfishing deepsea environment sensitive human activity precautionary approach clearly needed wanted total ban deepsea trawling heavy industrial net dragged seabed practice hugely destructive vulnerable marine ecosystem completely incompatible sustainable fishing calling reform common fishery policy scientific opinion state ban trawling effective helping protect threatened specie ban perfectly workable selective harmful equipment available disappointed amendment replacing ban review year time narrowly passed help conservative meps;10/12/2013;;;
Jacek Wlosowicz;EFD;PL;writing european commission submitted proposal size fishing authorisation deepsea fish eu water international water northeast atlantic period 20132014 according scientific opinion compared 2012 commission proposes increase total allowable fish size tac city reduction 30 city maintenance tacs current level city including zero level city commission proposes increase 2013 77 tac black powder water west british island 4500 tonne fishing level possible achieve stage 2015 status balance tw maximum support half msy commission proposes 20 increase 5 increase tac size black pallet city western water relevant west scotland ireland;10/12/2013;;;
Ines Cristina Zuber;GUE/NGL;PT;writing management deepsea specie fishery requires special care large lack detailed information resource ecosystem vulnerable presence insufficient providing resource public research institution developing activity area proposal regulation intended deepsea fishery regard eu come adopt legislation fact consider positive guideline international fishery management organisation case neafc northeast atlantic fishery commission aim promote conservation rational use north atlantic haliheit resource united nation agency proposal proposed certain art particularly art imposing end art art drawing basis scientific opinion national expert support commitment reached commission fishery introduces important measure preserve resource support need strengthen science base support decisionmaking;10/12/2013;;;
Milan Zver;EPP;SL;font voting deepsea fishing stock northeast atlantic supported amendment ensure elimination destructive fishing practice environment feel effect deteriorating balance day unfortunately certain fishing technique contribute exposed data year deepsea warming cause environmental damage century ago deepsea fishing gear environment nt use destroying naturally know duty responsibility future generation limit prevent month ago endorsed common agricultural policy green environmentally friendly glad continued tradition time;10/12/2013;;;
Roberta Angelilli;EPP;IT;mr president lady gentleman europe regularly hit natural disaster flood flood forest fire essential community cooperation field civil protection union mechanism major step forward civil protection cooperation support coordinate integrate member state action effective timely prevention immediate response disaster consider essential complete measure hydrogeological risk reviewing stability pact order measure protect soil safety school public building;10/12/2013;;;
Giommaria Uggias;ALDE;IT;mr president lady gentleman increasingly favour emergency situation today vote union civil protection mechanism important vote way institution european union relation decision taken citizen responds need solidarity main heart guide european union birth voted favour report believe highquality document take account need prevention response european union area amendment proposed introduce simplified rule procedure implementation mechanism enhancing effectiveness efficiency consistency european union response event disaster order underestimate greater involvement local region city community key role preventing emergency evidence given specific need outermost region marine basin island mountain region island region;10/12/2013;;;
Ewald Stadler;NI;AT;mr president voted report fundamentally afraid report statement seen report military aspect attempt military support point use foreign military troop member state decided representative neutral state like support report future support report fundamentally reason described supported subcutaneous military aspect support report;10/12/2013;;;
Andrej Plenkovic;EPP;HR;mr president supported parliament council decision civil protection mechanism report colleague gardini believe report decision good basis strengthening mechanism coordination solidarity member state event elementary disaster european union member talking flood drought fire experience like mediterranean country unfortunately past year lot great fire react gave capability mediterranean country protection disaster hit important european civil protection mechanism used 150 time far guarantee able respond right way appropriate mean continue protect european solidarity disaster;10/12/2013;;;
Marta Andreasen;ECR;UK;voted gardini report civil protection mechanism budget civil protection mechanism double seven year eur 189 million eur 3266 million consider unacceptable significant concern regarding potential mission creep commission number loosely defined provision concerned proposed new 247 european emergency response capacity unnecessarily interfere member state response disaster inside eu;10/12/2013;;;
Roberta Angelilli;EPP;IT;writing recent tragedy hit italy new european union civil protection mechanism tool finally address risk prevention reduction natural disaster integrated systematic approach estimated 20 year natural disaster caused 90 million victim europe resulted damage equal eur 211 billion impressive figure need strong concrete answer analysis risk assessment prevention response capacity priority new civil protection mechanism order reduce impact natural disaster term loss human life public resource recovery affected territory important step forward accompanied measure urgent time revision stability pact order incorporate intervention especially local authority aimed protecting soil safety school public building;10/12/2013;;;
Kharalampos Aggourakes;GUE/NGL;EL;writing ecb voted favour eu political protection mechanism report intended combat eu war given provides free use mobilization military force mean eu member state country way political protection mechanism mean eu military intervention designed human disaster fight terrorism focus revision eu common security defence policy increase aggressive nature strengthens imperialist policy action world eu seek evaluate fast intervention force socalled nonmilitary mission immediately military line need imperialist intervention eu strengthens military structure reform existing structure creates new one make effective attacking people country context intraiberalistic competition imperialist force control multiproductive resource unfair exploitation people;10/12/2013;;;
Pino Arlacchi;PES;IT;supported text believe preparation new multiannual financial framework good moment revise existing legal framework union civil protection number gravity natural manmade disaster increased significantly past year climate change expected trigger extreme disaster future reason cooperation need strengthened eu member state order increase effectiveness term prevention preparedness response event disaster inside outside eu;10/12/2013;;;
Zigmantas Balcytis;PES;LT;write voted favour proposal aimed revising civil security european union establishing civil safety mechanism civil security eu currently regulated legal instrument document community civil security mechanism relevant financial instrument 20132020 period recent year growing number natural man disaster increasingly dangerous future climate change lead disaster proposal aim harmonise civil security action member state civil protection continues depend member state competence aim european legislation support complement action member state promote cooperation consistency support proposal ensure compliance guideline closer cooperation believe regional cooperation encouraged knowledgesharing best practice training programme important ensure better reliable european response disaster pooling financial human resource;10/12/2013;;;
